,Min,Max
Time,0.2,600.0
Type,0.0,1.0
Limit,57.0,847.0
Spread,0.0,146.0
Midprice,66.64403292181069,797.6170553269319
Microprice,66.64403292181069,797.6170553269319
Best Bid,67.24444444444445,813.0
Best Ask,59.0,786.3333333333335
timedelta,0.012499999999988631,102.8000000000148
Imbalance,-0.8823529411764706,0.875
Total Quotes,2.0,64.0
Equilibrium,87.01886782423489,778.4586242965064
Smith's Alpha,0.0,0.3468761397336769
Price,67.0,786.3333333333335
