,Min,Max
Time,0.163,600.0
Type,0.0,1.0
Limit,59.0,966.0
Spread,0.0,178.0
Midprice,65.5,867.0
Microprice,65.5,896.6666666666665
Best Bid,66.0,956.0
Best Ask,59.0,829.0
timedelta,0.012499999999988631,30.862499999998786
Imbalance,-0.8823529411764706,0.9130434782608696
Total Quotes,2.0,70.0
Equilibrium,82.43567245232904,802.9910888024481
Smith's Alpha,0.0,0.33741863805250205
Price,66.0,829.0
